"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","廃置分合等情報有無"
"01100","北海道","札幌市","さっぽろし","","","1973-12-01","有"
"01202","北海道","","","函館市","はこだてし","2005-10-01","有"
"01203","北海道","","","小樽市","おたるし","1990-06-01","有"
"01204","北海道","","","旭川市","あさひかわし","2000-04-01","有"
"01205","北海道","","","室蘭市","むろらんし","1980-06-01","有"
"01206","北海道","","","釧路市","くしろし","2005-10-11","有"
"01207","北海道","","","帯広市","おびひろし","",""
"01208","北海道","","","北見市","きたみし","2006-03-05","有"
"01209","北海道","","","夕張市","ゆうばりし","",""
"01210","北海道","","","岩見沢市","いわみざわし","2006-03-27","有"
"01211","北海道","","","網走市","あばしりし","",""
"01212","北海道","","","留萌市","るもいし","",""
"01213","北海道","","","苫小牧市","とまこまいし","",""
"01214","北海道","","","稚内市","わっかないし","",""
"01215","北海道","","","美唄市","びばいし","",""
"01216","北海道","","","芦別市","あしべつし","",""
"01217","北海道","","","江別市","えべつし","",""
"01218","北海道","","","赤平市","あかびらし","",""
"01219","北海道","","","紋別市","もんべつし","",""
"01220","北海道","","","士別市","しべつし","2005-09-01","有"
"01221","北海道","","","名寄市","なよろし","2006-03-27","有"
"01222","北海道","","","三笠市","みかさし","",""
"01223","北海道","","","根室市","ねむろし","",""
"01224","北海道","","","千歳市","ちとせし","1985-02-15","有"
"01225","北海道","","","滝川市","たきかわし","1975-04-01","有"
"01226","北海道","","","砂川市","すながわし","1988-09-01","有"
"01227","北海道","","","歌志内市","うたしないし","",""
"01228","北海道","","","深川市","ふかがわし","",""
"01229","北海道","","","富良野市","ふらのし","",""
"01230","北海道","","","登別市","のぼりべつし","1980-06-01","有"
"01231","北海道","","","恵庭市","えにわし","1986-03-01","有"
"01233","北海道","","","伊達市","だてし","2006-03-01","有"
"01234","北海道","","","北広島市","きたひろしまし","1996-09-01","有"
"01235","北海道","","","石狩市","いしかりし","2005-10-01","有"
"01236","北海道","","","北斗市","ほくとし","2021-03-10","有"
"02201","青森県","","","青森市","あおもりし","2007-09-01","有"
"02202","青森県","","","弘前市","ひろさきし","2006-02-27","有"
"02203","青森県","","","八戸市","はちのへし","2017-01-01","有"
"02204","青森県","","","黒石市","くろいしし","1980-09-01","有"
"02205","青森県","","","五所川原市","ごしょがわらし","2005-12-01","有"
"02206","青森県","","","十和田市","とわだし","2008-12-25","有"
"02207","青森県","","","三沢市","みさわし","",""
"02208","青森県","","","むつ市","むつし","2005-03-14","有"
"02209","青森県","","","つがる市","つがるし","2005-02-11","有"
"02210","青森県","","","平川市","ひらかわし","2006-01-01","有"
"03201","岩手県","","","盛岡市","もりおかし","2008-04-01","有"
"03202","岩手県","","","宮古市","みやこし","2010-01-01","有"
"03203","岩手県","","","大船渡市","おおふなとし","2001-11-15","有"
"03205","岩手県","","","花巻市","はなまきし","2013-04-01","有"
"03206","岩手県","","","北上市","きたかみし","2013-04-01","有"
"03207","岩手県","","","久慈市","くじし","2006-03-06","有"
"03208","岩手県","","","遠野市","とおのし","2005-10-01","有"
"03209","岩手県","","","一関市","いちのせきし","2017-09-04","有"
"03210","岩手県","","","陸前高田市","りくぜんたかたし","",""
"03211","岩手県","","","釜石市","かまいしし","",""
"03213","岩手県","","","二戸市","にのへし","2006-01-01","有"
"03214","岩手県","","","八幡平市","はちまんたいし","2005-09-01","有"
"03215","岩手県","","","奥州市","おうしゅうし","2009-07-01","有"
"03216","岩手県","","","滝沢市","たきざわし","2014-01-01","有"
"04100","宮城県","仙台市","せんだいし","","","2024-01-31","有"
"04202","宮城県","","","石巻市","いしのまきし","2019-02-01","有"
"04203","宮城県","","","塩竈市","しおがまし","1996-01-24","有"
"04205","宮城県","","","気仙沼市","けせんぬまし","2009-09-01","有"
"04206","宮城県","","","白石市","しろいしし","1980-03-01","有"
"04207","宮城県","","","名取市","なとりし","2020-04-01","有"
"04208","宮城県","","","角田市","かくだし","",""
"04209","宮城県","","","多賀城市","たがじょうし","2013-07-01","有"
"04211","宮城県","","","岩沼市","いわぬまし","2020-04-01","有"
"04212","宮城県","","","登米市","とめし","2023-05-31","有"
"04213","宮城県","","","栗原市","くりはらし","2023-05-31","有"
"04214","宮城県","","","東松島市","ひがしまつしまし","2020-02-01","有"
"04215","宮城県","","","大崎市","おおさきし","2019-02-01","有"
"04216","宮城県","","","富谷市","とみやし","2016-10-10","有"
"05201","秋田県","","","秋田市","あきたし","2005-01-11","有"
"05202","秋田県","","","能代市","のしろし","2008-03-05","有"
"05203","秋田県","","","横手市","よこてし","2006-09-01","有"
"05204","秋田県","","","大館市","おおだてし","2005-06-20","有"
"05206","秋田県","","","男鹿市","おがし","2005-03-22","有"
"05207","秋田県","","","湯沢市","ゆざわし","2005-03-22","有"
"05209","秋田県","","","鹿角市","かづのし","1998-06-01","有"
"05210","秋田県","","","由利本荘市","ゆりほんじょうし","2005-03-22","有"
"05211","秋田県","","","潟上市","かたがみし","2005-03-22","有"
"05212","秋田県","","","大仙市","だいせんし","2025-05-10","有"
"05213","秋田県","","","北秋田市","きたあきたし","2005-03-22","有"
"05214","秋田県","","","にかほ市","にかほし","2005-10-01","有"
"05215","秋田県","","","仙北市","せんぼくし","2005-09-20","有"
"06201","山形県","","","山形市","やまがたし","2019-04-01","有"
"06202","山形県","","","米沢市","よねざわし","2007-01-25","有"
"06203","山形県","","","鶴岡市","つるおかし","2018-01-31","有"
"06204","山形県","","","酒田市","さかたし","2018-01-31","有"
"06205","山形県","","","新庄市","しんじょうし","2005-02-18","有"
"06206","山形県","","","寒河江市","さがえし","1990-11-28","有"
"06207","山形県","","","上山市","かみのやまし","2012-02-01","有"
"06208","山形県","","","村山市","むらやまし","1990-02-09","有"
"06209","山形県","","","長井市","ながいし","2011-02-16","有"
"06210","山形県","","","天童市","てんどうし","2021-01-20","有"
"06211","山形県","","","東根市","ひがしねし","2001-11-06","有"
"06212","山形県","","","尾花沢市","おばなざわし","1988-05-01","有"
"06213","山形県","","","南陽市","なんようし","1989-12-25","有"
"07201","福島県","","","福島市","ふくしまし","2018-04-01","有"
"07202","福島県","","","会津若松市","あいづわかまつし","2005-11-01","有"
"07203","福島県","","","郡山市","こおりやまし","1999-09-21","有"
"07204","福島県","","","いわき市","いわきし","1999-04-01","有"
"07205","福島県","","","白河市","しらかわし","2005-11-07","有"
"07207","福島県","","","須賀川市","すかがわし","2005-04-01","有"
"07208","福島県","","","喜多方市","きたかたし","2022-03-01","有"
"07209","福島県","","","相馬市","そうまし","2022-09-28","有"
"07210","福島県","","","二本松市","にほんまつし","2005-12-01","有"
"07211","福島県","","","田村市","たむらし","2005-03-01","有"
"07212","福島県","","","南相馬市","みなみそうまし","2022-09-28","有"
"07213","福島県","","","伊達市","だてし","2006-01-01","有"
"07214","福島県","","","本宮市","もとみやし","2007-01-01","有"
"08201","茨城県","","","水戸市","みとし","2020-04-01","有"
"08202","茨城県","","","日立市","ひたちし","2004-11-01","有"
"08203","茨城県","","","土浦市","つちうらし","2023-01-01","有"
"08204","茨城県","","","古河市","こがし","2005-09-12","有"
"08205","茨城県","","","石岡市","いしおかし","2009-03-10","有"
"08207","茨城県","","","結城市","ゆうきし","1998-07-01","有"
"08208","茨城県","","","龍ケ崎市","りゅうがさきし","2019-07-01","有"
"08210","茨城県","","","下妻市","しもつまし","2020-07-01","有"
"08211","茨城県","","","常総市","じょうそうし","2006-01-01","有"
"08212","茨城県","","","常陸太田市","ひたちおおたし","2004-12-01","有"
"08214","茨城県","","","高萩市","たかはぎし","1998-10-01","有"
"08215","茨城県","","","北茨城市","きたいばらきし","1998-10-01","有"
"08216","茨城県","","","笠間市","かさまし","2006-03-19","有"
"08217","茨城県","","","取手市","とりでし","2005-03-28","有"
"08219","茨城県","","","牛久市","うしくし","2006-12-20","有"
"08220","茨城県","","","つくば市","つくばし","2007-04-01","有"
"08221","茨城県","","","ひたちなか市","ひたちなかし","1997-03-27","有"
"08222","茨城県","","","鹿嶋市","かしまし","2009-03-10","有"
"08223","茨城県","","","潮来市","いたこし","2009-03-10","有"
"08224","茨城県","","","守谷市","もりやし","2002-02-02","有"
"08225","茨城県","","","常陸大宮市","ひたちおおみやし","2004-10-16","有"
"08226","茨城県","","","那珂市","なかし","2005-01-21","有"
"08227","茨城県","","","筑西市","ちくせいし","2020-07-01","有"
"08228","茨城県","","","坂東市","ばんどうし","2005-03-22","有"
"08229","茨城県","","","稲敷市","いなしきし","2009-03-10","有"
"08230","茨城県","","","かすみがうら市","かすみがうらし","2023-01-01","有"
"08231","茨城県","","","桜川市","さくらがわし","2012-09-01","有"
"08232","茨城県","","","神栖市","かみすし","2005-08-01","有"
"08233","茨城県","","","行方市","なめがたし","2009-03-10","有"
"08234","茨城県","","","鉾田市","ほこたし","2009-03-10","有"
"08235","茨城県","","","つくばみらい市","つくばみらいし","2006-03-27","有"
"08236","茨城県","","","小美玉市","おみたまし","2009-03-10","有"
"09201","栃木県","","","宇都宮市","うつのみやし","2023-07-01","有"
"09202","栃木県","","","足利市","あしかがし","1988-06-01","有"
"09203","栃木県","","","栃木市","とちぎし","2014-04-05","有"
"09204","栃木県","","","佐野市","さのし","2005-02-28","有"
"09205","栃木県","","","鹿沼市","かぬまし","2012-08-01","有"
"09206","栃木県","","","日光市","にっこうし","2023-07-01","有"
"09208","栃木県","","","小山市","おやまし","2019-02-01","有"
"09209","栃木県","","","真岡市","もおかし","2013-02-01","有"
"09210","栃木県","","","大田原市","おおたわらし","2009-08-01","有"
"09211","栃木県","","","矢板市","やいたし","2022-07-01","有"
"09213","栃木県","","","那須塩原市","なすしおばらし","2005-01-01","有"
"09214","栃木県","","","さくら市","さくらし","2012-08-01","有"
"09215","栃木県","","","那須烏山市","なすからすやまし","2012-08-01","有"
"09216","栃木県","","","下野市","しもつけし","2015-02-01","有"
"10201","群馬県","","","前橋市","まえばしし","2009-05-05","有"
"10202","群馬県","","","高崎市","たかさきし","2011-04-01","有"
"10203","群馬県","","","桐生市","きりゅうし","2005-06-13","有"
"10204","群馬県","","","伊勢崎市","いせさきし","2007-04-01","有"
"10205","群馬県","","","太田市","おおたし","2010-03-01","有"
"10206","群馬県","","","沼田市","ぬまたし","2006-12-01","有"
"10207","群馬県","","","館林市","たてばやしし","1982-06-01","有"
"10208","群馬県","","","渋川市","しぶかわし","2006-02-20","有"
"10209","群馬県","","","藤岡市","ふじおかし","2006-01-01","有"
"10210","群馬県","","","富岡市","とみおかし","2020-05-01","有"
"10211","群馬県","","","安中市","あんなかし","2020-05-01","有"
"10212","群馬県","","","みどり市","みどりし","2006-03-27","有"
"11100","埼玉県","さいたま市","さいたまし","","","2005-04-01","有"
"11201","埼玉県","","","川越市","かわごえし","2003-04-01","有"
"11202","埼玉県","","","熊谷市","くまがやし","2023-10-01","有"
"11203","埼玉県","","","川口市","かわぐちし","2018-04-01","有"
"11206","埼玉県","","","行田市","ぎょうだし","2026-02-01","有"
"11207","埼玉県","","","秩父市","ちちぶし","2005-04-01","有"
"11208","埼玉県","","","所沢市","ところざわし","2002-04-01","有"
"11209","埼玉県","","","飯能市","はんのうし","2005-01-01","有"
"11210","埼玉県","","","加須市","かぞし","2010-03-23","有"
"11211","埼玉県","","","本庄市","ほんじょうし","2006-01-10","有"
"11212","埼玉県","","","東松山市","ひがしまつやまし","1993-12-01","有"
"11214","埼玉県","","","春日部市","かすかべし","2008-04-01","有"
"11215","埼玉県","","","狭山市","さやまし","1994-03-01","有"
"11216","埼玉県","","","羽生市","はにゅうし","1999-06-01","有"
"11217","埼玉県","","","鴻巣市","こうのすし","2026-02-01","有"
"11218","埼玉県","","","深谷市","ふかやし","2010-03-01","有"
"11219","埼玉県","","","上尾市","あげおし","1997-04-01","有"
"11221","埼玉県","","","草加市","そうかし","2004-04-01","有"
"11222","埼玉県","","","越谷市","こしがやし","2015-04-01","有"
"11223","埼玉県","","","蕨市","わらびし","",""
"11224","埼玉県","","","戸田市","とだし","",""
"11225","埼玉県","","","入間市","いるまし","1983-04-01","有"
"11227","埼玉県","","","朝霞市","あさかし","1990-08-01","有"
"11228","埼玉県","","","志木市","しきし","1990-08-01","有"
"11229","埼玉県","","","和光市","わこうし","1970-10-31","有"
"11230","埼玉県","","","新座市","にいざし","1970-11-01","有"
"11231","埼玉県","","","桶川市","おけがわし","1989-05-01","有"
"11232","埼玉県","","","久喜市","くきし","2010-03-23","有"
"11233","埼玉県","","","北本市","きたもとし","1971-11-03","有"
"11234","埼玉県","","","八潮市","やしおし","1979-04-01","有"
"11235","埼玉県","","","富士見市","ふじみし","1974-06-01","有"
"11237","埼玉県","","","三郷市","みさとし","1972-05-03","有"
"11238","埼玉県","","","蓮田市","はすだし","2011-01-04","有"
"11239","埼玉県","","","坂戸市","さかどし","2001-09-01","有"
"11240","埼玉県","","","幸手市","さってし","1997-12-01","有"
"11241","埼玉県","","","鶴ヶ島市","つるがしまし","1991-09-01","有"
"11242","埼玉県","","","日高市","ひだかし","1991-10-01","有"
"11243","埼玉県","","","吉川市","よしかわし","1997-11-01","有"
"11245","埼玉県","","","ふじみ野市","ふじみのし","2005-10-01","有"
"11246","埼玉県","","","白岡市","しらおかし","2012-10-01","有"
"12100","千葉県","千葉市","ちばし","","","2006-12-01","有"
"12202","千葉県","","","銚子市","ちょうしし","2004-06-01","有"
"12203","千葉県","","","市川市","いちかわし","",""
"12204","千葉県","","","船橋市","ふなばしし","2003-04-01","有"
"12205","千葉県","","","館山市","たてやまし","1975-07-01","有"
"12206","千葉県","","","木更津市","きさらづし","2025-01-20","有"
"12207","千葉県","","","松戸市","まつどし","1999-10-01","有"
"12208","千葉県","","","野田市","のだし","2003-06-06","有"
"12210","千葉県","","","茂原市","もばらし","2012-01-01","有"
"12211","千葉県","","","成田市","なりたし","2006-03-27","有"
"12212","千葉県","","","佐倉市","さくらし","1999-10-01","有"
"12213","千葉県","","","東金市","とうがねし","1993-10-01","有"
"12215","千葉県","","","旭市","あさひし","2022-10-14","有"
"12216","千葉県","","","習志野市","ならしのし","1981-05-01","有"
"12217","千葉県","","","柏市","かしわし","2008-04-01","有"
"12218","千葉県","","","勝浦市","かつうらし","2003-01-01","有"
"12219","千葉県","","","市原市","いちはらし","1995-10-01","有"
"12220","千葉県","","","流山市","ながれやまし","1990-12-01","有"
"12221","千葉県","","","八千代市","やちよし","2012-01-01","有"
"12222","千葉県","","","我孫子市","あびこし","1996-04-01","有"
"12223","千葉県","","","鴨川市","かもがわし","2005-02-11","有"
"12224","千葉県","","","鎌ケ谷市","かまがやし","1971-09-01","有"
"12225","千葉県","","","君津市","きみつし","2003-10-01","有"
"12226","千葉県","","","富津市","ふっつし","1971-09-01","有"
"12227","千葉県","","","浦安市","うらやすし","1981-04-01","有"
"12228","千葉県","","","四街道市","よつかいどうし","2006-12-01","有"
"12229","千葉県","","","袖ケ浦市","そでがうらし","2025-01-20","有"
"12230","千葉県","","","八街市","やちまたし","1992-04-01","有"
"12231","千葉県","","","印西市","いんざいし","2012-01-01","有"
"12232","千葉県","","","白井市","しろいし","2002-01-01","有"
"12233","千葉県","","","富里市","とみさとし","2004-01-01","有"
"12234","千葉県","","","南房総市","みなみぼうそうし","2006-03-20","有"
"12235","千葉県","","","匝瑳市","そうさし","2022-10-14","有"
"12236","千葉県","","","香取市","かとりし","2006-03-27","有"
"12237","千葉県","","","山武市","さんむし","2006-03-27","有"
"12238","千葉県","","","いすみ市","いすみし","2005-12-05","有"
"12239","千葉県","","","大網白里市","おおあみしらさとし","2013-01-01","有"
"13100","東京都","","","特別区部","とくべつくぶ","",""
"13201","東京都","","","八王子市","はちおうじし","2015-04-01","有"
"13202","東京都","","","立川市","たちかわし","1973-04-01","有"
"13203","東京都","","","武蔵野市","むさしのし","",""
"13204","東京都","","","三鷹市","みたかし","",""
"13205","東京都","","","青梅市","おうめし","",""
"13206","東京都","","","府中市","ふちゅうし","",""
"13207","東京都","","","昭島市","あきしまし","2015-12-01","有"
"13208","東京都","","","調布市","ちょうふし","",""
"13209","東京都","","","町田市","まちだし","2020-12-01","有"
"13210","東京都","","","小金井市","こがねいし","",""
"13211","東京都","","","小平市","こだいらし","1973-03-01","有"
"13212","東京都","","","日野市","ひのし","",""
"13213","東京都","","","東村山市","ひがしむらやまし","1985-02-08","有"
"13214","東京都","","","国分寺市","こくぶんじし","",""
"13215","東京都","","","国立市","くにたちし","",""
"13218","東京都","","","福生市","ふっさし","2015-12-01","有"
"13219","東京都","","","狛江市","こまえし","1970-10-01","有"
"13220","東京都","","","東大和市","ひがしやまとし","1970-10-01","有"
"13221","東京都","","","清瀬市","きよせし","1970-10-01","有"
"13222","東京都","","","東久留米市","ひがしくるめし","1985-02-08","有"
"13223","東京都","","","武蔵村山市","むさしむらやまし","1970-11-03","有"
"13224","東京都","","","多摩市","たまし","2002-01-01","有"
"13225","東京都","","","稲城市","いなぎし","1971-11-01","有"
"13227","東京都","","","羽村市","はむらし","1991-11-01","有"
"13228","東京都","","","あきる野市","あきるのし","1995-09-01","有"
"13229","東京都","","","西東京市","にしとうきょうし","2001-01-21","有"
"14100","神奈川県","横浜市","よこはまし","","","1988-06-01","有"
"14130","神奈川県","川崎市","かわさきし","","","1975-02-15","有"
"14150","神奈川県","相模原市","さがみはらし","","","2020-12-01","有"
"14201","神奈川県","","","横須賀市","よこすかし","2001-04-01","有"
"14203","神奈川県","","","平塚市","ひらつかし","2001-04-01","有"
"14204","神奈川県","","","鎌倉市","かまくらし","1972-05-01","有"
"14205","神奈川県","","","藤沢市","ふじさわし","1971-03-25","有"
"14206","神奈川県","","","小田原市","おだわらし","2000-11-01","有"
"14207","神奈川県","","","茅ヶ崎市","ちがさきし","2003-04-01","有"
"14208","神奈川県","","","逗子市","ずしし","1975-02-15","有"
"14210","神奈川県","","","三浦市","みうらし","",""
"14211","神奈川県","","","秦野市","はだのし","1972-02-01","有"
"14212","神奈川県","","","厚木市","あつぎし","2002-04-01","有"
"14213","神奈川県","","","大和市","やまとし","2000-11-01","有"
"14214","神奈川県","","","伊勢原市","いせはらし","1975-05-01","有"
"14215","神奈川県","","","海老名市","えびなし","1982-09-01","有"
"14216","神奈川県","","","座間市","ざまし","1971-11-01","有"
"14217","神奈川県","","","南足柄市","みなみあしがらし","2001-01-10","有"
"14218","神奈川県","","","綾瀬市","あやせし","1982-09-01","有"
"15100","新潟県","新潟市","にいがたし","","","2023-03-11","有"
"15202","新潟県","","","長岡市","ながおかし","2024-01-27","有"
"15204","新潟県","","","三条市","さんじょうし","2011-03-26","有"
"15205","新潟県","","","柏崎市","かしわざきし","2005-05-01","有"
"15206","新潟県","","","新発田市","しばたし","2018-06-09","有"
"15208","新潟県","","","小千谷市","おぢやし","1995-10-25","有"
"15209","新潟県","","","加茂市","かもし","2011-03-26","有"
"15210","新潟県","","","十日町市","とおかまちし","2005-04-01","有"
"15211","新潟県","","","見附市","みつけし","2015-10-01","有"
"15212","新潟県","","","村上市","むらかみし","2010-06-16","有"
"15213","新潟県","","","燕市","つばめし","2024-01-27","有"
"15216","新潟県","","","糸魚川市","いといがわし","2005-03-19","有"
"15217","新潟県","","","妙高市","みょうこうし","2025-02-26","有"
"15218","新潟県","","","五泉市","ごせんし","2016-12-03","有"
"15222","新潟県","","","上越市","じょうえつし","2025-02-26","有"
"15223","新潟県","","","阿賀野市","あがのし","2016-12-03","有"
"15224","新潟県","","","佐渡市","さどし","2004-03-01","有"
"15225","新潟県","","","魚沼市","うおぬまし","2004-11-01","有"
"15226","新潟県","","","南魚沼市","みなみうおぬまし","2005-10-01","有"
"15227","新潟県","","","胎内市","たいないし","2010-06-16","有"
"16201","富山県","","","富山市","とやまし","2005-04-01","有"
"16202","富山県","","","高岡市","たかおかし","2005-11-01","有"
"16204","富山県","","","魚津市","うおづし","1989-06-01","有"
"16205","富山県","","","氷見市","ひみし","",""
"16206","富山県","","","滑川市","なめりかわし","1991-03-25","有"
"16207","富山県","","","黒部市","くろべし","2006-03-31","有"
"16208","富山県","","","砺波市","となみし","2004-11-01","有"
"16209","富山県","","","小矢部市","おやべし","1992-03-01","有"
"16210","富山県","","","南砺市","なんとし","2004-11-01","有"
"16211","富山県","","","射水市","いみずし","2005-11-01","有"
"17201","石川県","","","金沢市","かなざわし","1999-05-01","有"
"17202","石川県","","","七尾市","ななおし","2022-03-01","有"
"17203","石川県","","","小松市","こまつし","2008-09-01","有"
"17204","石川県","","","輪島市","わじまし","2006-02-01","有"
"17205","石川県","","","珠洲市","すずし","",""
"17206","石川県","","","加賀市","かがし","2008-09-01","有"
"17207","石川県","","","羽咋市","はくいし","2006-08-01","有"
"17209","石川県","","","かほく市","かほくし","2014-03-01","有"
"17210","石川県","","","白山市","はくさんし","2013-06-01","有"
"17211","石川県","","","能美市","のみし","2005-02-01","有"
"17212","石川県","","","野々市市","ののいちし","2013-06-01","有"
"18201","福井県","","","福井市","ふくいし","2019-04-01","有"
"18202","福井県","","","敦賀市","つるがし","",""
"18204","福井県","","","小浜市","おばまし","1993-02-04","有"
"18205","福井県","","","大野市","おおのし","2005-11-07","有"
"18206","福井県","","","勝山市","かつやまし","",""
"18207","福井県","","","鯖江市","さばえし","1988-06-01","有"
"18208","福井県","","","あわら市","あわらし","2007-04-03","有"
"18209","福井県","","","越前市","えちぜんし","2005-10-01","有"
"18210","福井県","","","坂井市","さかいし","2017-08-22","有"
"19201","山梨県","","","甲府市","こうふし","2019-04-01","有"
"19202","山梨県","","","富士吉田市","ふじよしだし","",""
"19204","山梨県","","","都留市","つるし","",""
"19205","山梨県","","","山梨市","やまなしし","2005-03-22","有"
"19206","山梨県","","","大月市","おおつきし","",""
"19207","山梨県","","","韮崎市","にらさきし","",""
"19208","山梨県","","","南アルプス市","みなみあるぷすし","2010-07-30","有"
"19209","山梨県","","","北杜市","ほくとし","2006-03-15","有"
"19210","山梨県","","","甲斐市","かいし","2004-09-01","有"
"19211","山梨県","","","笛吹市","ふえふきし","2006-08-01","有"
"19212","山梨県","","","上野原市","うえのはらし","2005-02-13","有"
"19213","山梨県","","","甲州市","こうしゅうし","2005-11-01","有"
"19214","山梨県","","","中央市","ちゅうおうし","2006-02-20","有"
"20201","長野県","","","長野市","ながのし","2010-01-01","有"
"20202","長野県","","","松本市","まつもとし","2021-04-01","有"
"20203","長野県","","","上田市","うえだし","2006-03-06","有"
"20204","長野県","","","岡谷市","おかやし","1983-08-01","有"
"20205","長野県","","","飯田市","いいだし","2005-10-01","有"
"20206","長野県","","","諏訪市","すわし","2009-07-01","有"
"20207","長野県","","","須坂市","すざかし","1971-04-30","有"
"20208","長野県","","","小諸市","こもろし","2013-02-01","有"
"20209","長野県","","","伊那市","いなし","2006-03-31","有"
"20210","長野県","","","駒ヶ根市","こまがねし","",""
"20211","長野県","","","中野市","なかのし","2005-04-01","有"
"20212","長野県","","","大町市","おおまちし","2006-01-01","有"
"20213","長野県","","","飯山市","いいやまし","2000-04-01","有"
"20214","長野県","","","茅野市","ちのし","2009-07-01","有"
"20215","長野県","","","塩尻市","しおじりし","2005-04-01","有"
"20217","長野県","","","佐久市","さくし","2013-02-01","有"
"20218","長野県","","","千曲市","ちくまし","2003-09-01","有"
"20219","長野県","","","東御市","とうみし","2004-04-01","有"
"20220","長野県","","","安曇野市","あづみのし","2005-10-01","有"
"21201","岐阜県","","","岐阜市","ぎふし","2006-01-01","有"
"21202","岐阜県","","","大垣市","おおがきし","2009-10-31","有"
"21203","岐阜県","","","高山市","たかやまし","2005-02-01","有"
"21204","岐阜県","","","多治見市","たじみし","2006-01-23","有"
"21205","岐阜県","","","関市","せきし","2005-02-07","有"
"21206","岐阜県","","","中津川市","なかつがわし","2005-02-13","有"
"21207","岐阜県","","","美濃市","みのし","1987-07-01","有"
"21208","岐阜県","","","瑞浪市","みずなみし","1990-06-01","有"
"21209","岐阜県","","","羽島市","はしまし","1992-11-01","有"
"21210","岐阜県","","","恵那市","えなし","2004-10-25","有"
"21211","岐阜県","","","美濃加茂市","みのかもし","1989-06-01","有"
"21212","岐阜県","","","土岐市","ときし","",""
"21213","岐阜県","","","各務原市","かかみがはらし","2004-11-01","有"
"21214","岐阜県","","","可児市","かにし","2005-05-01","有"
"21215","岐阜県","","","山県市","やまがたし","2003-04-01","有"
"21216","岐阜県","","","瑞穂市","みずほし","2009-10-31","有"
"21217","岐阜県","","","飛騨市","ひだし","2004-02-01","有"
"21218","岐阜県","","","本巣市","もとすし","2004-02-01","有"
"21219","岐阜県","","","郡上市","ぐじょうし","2004-03-01","有"
"21220","岐阜県","","","下呂市","げろし","2004-03-01","有"
